nm,DUV_scanner,Photomask_writer,Photoresist,Overlay_metrology,Ion_implanter,Electroplating,deposition,etch
7nm,None,None,None,None,None,None,"Pilot
(2018)","Production
(2018)"
14nm,None,None,None,None,None,None,Pilot,Production
28nm,"Pilot
(2023)",None,"Pilot
(2021)","Pilot
(2023)","Production
(2023)","Production
(2022)","Production
(2015)",Production
45nm,Pilot,None,Pilot,Pilot,Production,Production,Production,Production
90nm,Pilot,None,"Production
(2018)","Production
(2022)",Production,Production,Production,Production
180nm,"Production
(2012)",None,Production,Production,Production,Production,Production,Production
